RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,Student3,Role3,Ranks3,Side3,name,start_date,end_date,host,level,year,bid_start_date,bid_end_date,bid_location,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1,tab_note_2
3,1125,Π,-3,1046,Loss,1,1,6,1.5,6.0,24.0,-37,6,Middle Tennessee State University,Middle Tennessee State University,False,False,False,False,,Darby McCarthy 1046,Witness,19,Π,,,,,,,,,,,,,Memphis Opening Round Championship Series Tournament,"March 21, 2014","March 23, 2014",Rhodes College,orcs,2014,,,,Justin Bernstein,Adam Detsky,Opening coin flip: Tails. Lower number wins tiebreaker.,Round 3 coin flip: Heads. Cards don't move.,7th place record after round 3: 4 wins
3,1125,Π,-5,1046,Loss,1,1,6,1.5,6.0,24.0,-37,6,Middle Tennessee State University,Middle Tennessee State University,False,False,False,False,,Darby McCarthy 1046,Witness,19,Π,,,,,,,,,,,,,Memphis Opening Round Championship Series Tournament,"March 21, 2014","March 23, 2014",Rhodes College,orcs,2014,,,,Justin Bernstein,Adam Detsky,Opening coin flip: Tails. Lower number wins tiebreaker.,Round 3 coin flip: Heads. Cards don't move.,7th place record after round 3: 4 wins
4,1067,Δ,-5,1046,Loss,1,1,6,1.5,6.0,24.0,-37,6,Middle Tennessee State University,Middle Tennessee State University,False,False,False,False,,Darby McCarthy 1046,Witness,19,Π,,,,,,,,,,,,,Memphis Opening Round Championship Series Tournament,"March 21, 2014","March 23, 2014",Rhodes College,orcs,2014,,,,Justin Bernstein,Adam Detsky,Opening coin flip: Tails. Lower number wins tiebreaker.,Round 3 coin flip: Heads. Cards don't move.,7th place record after round 3: 4 wins
4,1067,Δ,-17,1046,Loss,1,1,6,1.5,6.0,24.0,-37,6,Middle Tennessee State University,Middle Tennessee State University,False,False,False,False,,Darby McCarthy 1046,Witness,19,Π,,,,,,,,,,,,,Memphis Opening Round Championship Series Tournament,"March 21, 2014","March 23, 2014",Rhodes College,orcs,2014,,,,Justin Bernstein,Adam Detsky,Opening coin flip: Tails. Lower number wins tiebreaker.,Round 3 coin flip: Heads. Cards don't move.,7th place record after round 3: 4 wins
1,1220,Π,4,1047,Win,2,0,6,2.0,9.5,41.0,-65,4,Middle Tennessee State University,Middle Tennessee State University,False,False,False,False,,Elizabeth Bickel 1047,Witness,18,Π,,,,,,,,,,,,,Memphis Opening Round Championship Series Tournament,"March 21, 2014","March 23, 2014",Rhodes College,orcs,2014,,,,Justin Bernstein,Adam Detsky,Opening coin flip: Tails. Lower number wins tiebreaker.,Round 3 coin flip: Heads. Cards don't move.,7th place record after round 3: 4 wins
1,1220,Π,-9,1047,Loss,2,0,6,2.0,9.5,41.0,-65,4,Middle Tennessee State University,Middle Tennessee State University,False,False,False,False,,Elizabeth Bickel 1047,Witness,18,Π,,,,,,,,,,,,,Memphis Opening Round Championship Series Tournament,"March 21, 2014","March 23, 2014",Rhodes College,orcs,2014,,,,Justin Bernstein,Adam Detsky,Opening coin flip: Tails. Lower number wins tiebreaker.,Round 3 coin flip: Heads. Cards don't move.,7th place record after round 3: 4 wins
2,1364,Δ,-21,1047,Loss,2,0,6,2.0,9.5,41.0,-65,4,Middle Tennessee State University,Middle Tennessee State University,False,False,False,False,,Elizabeth Bickel 1047,Witness,18,Π,,,,,,,,,,,,,Memphis Opening Round Championship Series Tournament,"March 21, 2014","March 23, 2014",Rhodes College,orcs,2014,,,,Justin Bernstein,Adam Detsky,Opening coin flip: Tails. Lower number wins tiebreaker.,Round 3 coin flip: Heads. Cards don't move.,7th place record after round 3: 4 wins
2,1364,Δ,3,1047,Win,2,0,6,2.0,9.5,41.0,-65,4,Middle Tennessee State University,Middle Tennessee State University,False,False,False,False,,Elizabeth Bickel 1047,Witness,18,Π,,,,,,,,,,,,,Memphis Opening Round Championship Series Tournament,"March 21, 2014","March 23, 2014",Rhodes College,orcs,2014,,,,Justin Bernstein,Adam Detsky,Opening coin flip: Tails. Lower number wins tiebreaker.,Round 3 coin flip: Heads. Cards don't move.,7th place record after round 3: 4 wins
3,1093,Π,-3,1047,Loss,2,0,6,2.0,9.5,41.0,-65,4,Middle Tennessee State University,Middle Tennessee State University,False,False,False,False,,Elizabeth Bickel 1047,Witness,18,Π,,,,,,,,,,,,,Memphis Opening Round Championship Series Tournament,"March 21, 2014","March 23, 2014",Rhodes College,orcs,2014,,,,Justin Bernstein,Adam Detsky,Opening coin flip: Tails. Lower number wins tiebreaker.,Round 3 coin flip: Heads. Cards don't move.,7th place record after round 3: 4 wins
3,1093,Π,-21,1047,Loss,2,0,6,2.0,9.5,41.0,-65,4,Middle Tennessee State University,Middle Tennessee State University,False,False,False,False,,Elizabeth Bickel 1047,Witness,18,Π,,,,,,,,,,,,,Memphis Opening Round Championship Series Tournament,"March 21, 2014","March 23, 2014",Rhodes College,orcs,2014,,,,Justin Bernstein,Adam Detsky,Opening coin flip: Tails. Lower number wins tiebreaker.,Round 3 coin flip: Heads. Cards don't move.,7th place record after round 3: 4 wins
4,1066,Δ,-15,1047,Loss,2,0,6,2.0,9.5,41.0,-65,4,Middle Tennessee State University,Middle Tennessee State University,False,False,False,False,,Elizabeth Bickel 1047,Witness,18,Π,,,,,,,,,,,,,Memphis Opening Round Championship Series Tournament,"March 21, 2014","March 23, 2014",Rhodes College,orcs,2014,,,,Justin Bernstein,Adam Detsky,Opening coin flip: Tails. Lower number wins tiebreaker.,Round 3 coin flip: Heads. Cards don't move.,7th place record after round 3: 4 wins
