RoundNum,OppNum,Side,PD,TeamNum,Ballot_Result,TotalWins,TotalTies,TotalLosses,TotalBallots,TotalCS,TotalOCS,TotalPD,Rank,TeamName,OppName,EarnedBid,EarnedHonorableMention,WonSPAMTA,SPAMTAHonorableMention,SPAMTARanks,Student0,Role0,Ranks0,Side0,Student1,Role1,Ranks1,Side1,Student2,Role2,Ranks2,Side2,name,host,location,start_date,end_date,level,year,bid_start_date,bid_end_date,bid_location,amta_rep_0,amta_rep_1,tab_note_0,tab_note_1,tab_note_2
3,1437,Π,-1,1259,Loss,4,1,3,4.5,14.5,47.5,3,16,"University of California, Berkeley B","University of California, Berkeley B",False,False,False,False,,Alaka Rao University of Washingto,Attorney,19,∆,,,,,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1437,Π,-25,1259,Loss,4,1,3,4.5,14.5,47.5,3,16,"University of California, Berkeley B","University of California, Berkeley B",False,False,False,False,,Alaka Rao University of Washingto,Attorney,19,∆,,,,,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1540,Δ,0,1259,Tie,4,1,3,4.5,14.5,47.5,3,16,"University of California, Berkeley B","University of California, Berkeley B",False,False,False,False,,Alaka Rao University of Washingto,Attorney,19,∆,,,,,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
4,1540,Δ,6,1259,Win,4,1,3,4.5,14.5,47.5,3,16,"University of California, Berkeley B","University of California, Berkeley B",False,False,False,False,,Alaka Rao University of Washingto,Attorney,19,∆,,,,,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1517,Δ,-7,1265,Loss,1,1,6,1.5,5.0,18.0,-56,9,Central Washington University A 8/15/2019,Central Washington University A 8/15/2019,False,False,False,False,,Celebre Fouka-Nganga University of Orego,Witness,16,∆,,,,,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
1,1517,Δ,-13,1265,Loss,1,1,6,1.5,5.0,18.0,-56,9,Central Washington University A 8/15/2019,Central Washington University A 8/15/2019,False,False,False,False,,Celebre Fouka-Nganga University of Orego,Witness,16,∆,,,,,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1259,Π,-16,1265,Loss,1,1,6,1.5,5.0,18.0,-56,9,Central Washington University A 8/15/2019,Central Washington University A 8/15/2019,False,False,False,False,,Celebre Fouka-Nganga University of Orego,Witness,16,∆,,,,,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
2,1259,Π,-4,1265,Loss,1,1,6,1.5,5.0,18.0,-56,9,Central Washington University A 8/15/2019,Central Washington University A 8/15/2019,False,False,False,False,,Celebre Fouka-Nganga University of Orego,Witness,16,∆,,,,,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1319,Δ,4,1265,Win,1,1,6,1.5,5.0,18.0,-56,9,Central Washington University A 8/15/2019,Central Washington University A 8/15/2019,False,False,False,False,,Celebre Fouka-Nganga University of Orego,Witness,16,∆,,,,,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
3,1319,Δ,0,1265,Tie,1,1,6,1.5,5.0,18.0,-56,9,Central Washington University A 8/15/2019,Central Washington University A 8/15/2019,False,False,False,False,,Celebre Fouka-Nganga University of Orego,Witness,16,∆,,,,,,,,,"Seattle, Washington Regional Tournament",University of Washington,"Seattle, Washington","February 08, 2020","February 09, 2020",regionals,2020,"March 06, 2020","March 08, 2020","Geneva, Illinois",Glen Halva-Neubauer,Elizabeth Smiley,7th place after round 3: 4 Wins,Opening coin flip: Heads - Higher # = Better Rank,Round 3 coin flip: Tails - Left Side is Defense
